model,year,transmission,mileage,fuel type,engine size,price
 Focus,2019.0,Manual,25.0,Petrol,2.3,25950.0
 C Class,2018.0,Semi-Auto,3150.0,Diesel,2.0,27299.0
 Focus,2017.0,Manual,20988.0,Diesel,1.5,12690.0
 S3,2015.0,Manual,32000.0,Petrol,2.0,18790.0
 C Class,2014.0,Manual,57062.0,Diesel,0.0,14750.0
 Focus,2018.0,Manual,20144.0,Petrol,1.0,12495.0
 A6,2016.0,Manual,37729.0,Diesel,2.0,15995.0
 C Class,2015.0,Semi-Auto,19039.0,37,2.1,17749.0
 A4,2016.0,Manual,33303.0,Diesel,2.0,14998.0
 Q3,2020.0,Semi-Auto,4500.0,Petrol,2.0,34000.0
 Q3,2019.0,Manual,100.0,Diesel,2.0,30950.0
 Q5,2014.0,Automatic,37459.0,Petrol,2.0,19999.0
 Q2,2019.0,Manual,4157.0,Diesel,1.6,21600.0
 Focus,2019.0,Manual,10000.0,Petrol,1.0,16999.0
 Focus,2019.0,Manual,11291.0,Petrol,1.0,15935.0
 A4,2018.0,Manual,24140.0,Petrol,1.4,17300.0
 Q5,2019.0,Semi-Auto,6000.0,Petrol,2.0,38990.0
 Q3,2020.0,Semi-Auto,5000.0,Petrol,1.5,38990.0
 A3,2019.0,Semi-Auto,2803.0,Petrol,1.5,26450.0
 Focus,2019.0,Manual,8140.0,Petrol,1.0,17499.0
 Focus,2019.0,Manual,4710.0,Petrol,1.0,18995.0
 A3,2017.0,Manual,8391.0,Petrol,1.0,15141.0
 A5,2019.0,Automatic,500.0,Diesel,2.0,27500.0
 A3,2016.0,Manual,23933.0,Diesel,2.0,16998.0
 Focus,2018.0,Manual,11382.0,Petrol,1.0,13500.0
 Q5,2015.0,Semi-Auto,53646.0,Diesel,3.0,23450.0
 Q2,2019.0,Automatic,4515.0,Petrol,2.0,26970.0
 C Class,2017.0,Semi-Auto,8306.0,31,2.0,19199.0
 Q3,2017.0,Manual,41767.0,Petrol,1.4,15749.0
 A3,2019.0,Automatic,9527.0,Petrol,1.5,23950.0
 Q3,2020.0,Semi-Auto,4500.0,Petrol,1.5,34000.0
 Q2,2019.0,Semi-Auto,2468.0,Diesel,1.6,21950.0
 Focus,2019.0,Manual,6238.0,Petrol,1.0,15700.0
 A1,2019.0,Semi-Auto,2252.0,Petrol,1.0,17985.0
 C Class,2019.0,Semi-Auto,10576.0,Diesel,2.0,29549.0
 A3,2020.0,Automatic,5500.0,Diesel,2.0,28950.0
 Q5,2019.0,Semi-Auto,8869.0,Diesel,2.0,31490.0
 A1,2017.0,Manual,17802.0,Petrol,1.4,11320.0
 Q2,2019.0,Manual,5015.0,Diesel,1.6,20470.0
 C Class,2019.0,Automatic,3500.0,Diesel,2.0,28995.0
 A1,2017.0,Manual,7395.0,Petrol,1.0,12291.0
 Focus,2012.0,Manual,73913.0,16,1.56,6000.0
 Focus,2013.0,Semi-Auto,28154.0,14,1.6,6900.0
 Q3,2018.0,Semi-Auto,29500.0,Petrol,1.4,21950.0
 Q3,2015.0,Semi-Auto,29916.0,Petrol,2.0,20750.0
 A1,2016.0,Manual,15307.0,Petrol,1.4,15495.0
 C Class,2019.0,Semi-Auto,15251.0,Diesel,2.0,25699.0
 Q2,2017.0,Manual,28275.0,Petrol,1.4,18989.0
 C Class,2017.0,Automatic,50369.0,Diesel,2.143,13800.0
 Focus,2018.0,Manual,14082.0,Petrol,1.0,13799.0
 Q2,2017.0,Manual,17872.0,Diesel,1.6,18995.0
 C Class,2014.0,Automatic,49865.0,46,2.143,11300.0
 Q2,2018.0,Semi-Auto,8650.0,Petrol,1.4,20990.0
 A4,2014.0,Semi-Auto,65203.0,Diesel,2.0,10291.0
 C Class,2016.0,Semi-Auto,24857.0,Diesel,2.1,18000.0
 A4,2016.0,Semi-Auto,44531.0,Diesel,3.0,18900.0
 A4,2016.0,Manual,45100.0,Diesel,2.0,15699.0
 A6,2016.0,Manual,81517.0,Diesel,2.0,14598.0
 Q7,2018.0,Automatic,13213.0,Diesel,4.0,70990.0
 C Class,2019.0,Semi-Auto,1768.0,Diesel,2.0,29249.0
 A1,2016.0,Manual,12650.0,Diesel,1.6,11300.0
 Q5,2019.0,Automatic,1255.0,Diesel,3.0,57895.0
 C Class,2019.0,Semi-Auto,13624.0,Petrol,1.5,25599.0
 Focus,2019.0,Manual,13816.0,Petrol,1.0,16400.0
 Focus,2018.0,Manual,18952.0,Diesel,1.5,12000.0
 A4,2016.0,Semi-Auto,26020.0,Diesel,2.0,17525.0
 A3,2019.0,Automatic,5348.0,Diesel,1.6,19200.0
 Q2,2019.0,Semi-Auto,22.0,Diesel,2.0,23998.0
 A5,2019.0,Semi-Auto,3317.0,Diesel,2.0,28900.0
 Q2,2019.0,Manual,6000.0,Diesel,1.6,25990.0
 A4,2008.0,Automatic,89000.0,Diesel,3.0,5490.0
 A8,2018.0,Semi-Auto,5538.0,Diesel,3.0,35866.0
 Focus,2016.0,Manual,70709.0,Diesel,1.5,7500.0
 Q3,2017.0,Semi-Auto,26000.0,Diesel,2.0,20000.0
 A3,2016.0,Automatic,39255.0,Diesel,1.6,16290.0
 Focus,2016.0,Manual,57477.0,Diesel,1.5,9059.0
 Focus,2017.0,Manual,29891.0,Petrol,1.0,10760.0
 A1,2016.0,Manual,24000.0,Petrol,1.4,8990.0
 C Class,2018.0,Semi-Auto,11896.0,Petrol,1.5,23899.0
 A5,2014.0,Manual,31650.0,Petrol,1.8,13495.0
 Q3,2019.0,Manual,1780.0,Diesel,2.0,29790.0
 Focus,2018.0,Manual,22749.0,Petrol,1.0,10700.0
 Q5,2019.0,Semi-Auto,5429.0,Diesel,2.0,36444.0
 Q8,2019.0,Semi-Auto,4488.0,Diesel,3.0,48995.0
 A5,2017.0,Automatic,25237.0,Diesel,2.0,19686.0
 C Class,2019.0,Automatic,10637.0,Diesel,2.0,24790.0
 Focus,2019.0,Automatic,4677.0,Diesel,2.0,21680.0
 C Class,2015.0,Manual,69930.0,26,1.598,13000.0
 C Class,2015.0,Semi-Auto,43331.0,37,2.1,14698.0
 A3,2019.0,Semi-Auto,6575.0,Diesel,1.6,22450.0
 Focus,2017.0,Manual,35450.0,Petrol,1.0,8950.0
 A1,2016.0,Manual,22606.0,Petrol,1.4,11995.0
 Focus,2018.0,Manual,48961.0,Petrol,1.0,11000.0
 Q3,2016.0,Semi-Auto,43200.0,Petrol,1.4,17990.0
 A3,2016.0,Manual,29898.0,Petrol,1.4,16900.0
 Q3,2015.0,Semi-Auto,44500.0,Petrol,1.4,17490.0
 Focus,2018.0,Manual,19223.0,Petrol,1.0,9950.0
 A3,2020.0,Automatic,1350.0,Diesel,2.0,27490.0
 A4,2016.0,Manual,24673.0,Diesel,2.0,15270.0
 Focus,2019.0,Manual,9504.0,Diesel,1.5,17900.0
 A1,2014.0,Semi-Auto,24900.0,Petrol,1.4,13750.0
 A1,2015.0,Manual,25936.0,Diesel,1.6,11999.0
 A1,2018.0,Automatic,37310.0,Petrol,1.4,14700.0
 C Class,2019.0,Automatic,3001.0,Petrol,2.0,31346.0
 Focus,2018.0,Manual,18695.0,12,1.0,13295.0
 A6,2019.0,Automatic,6615.0,Diesel,2.0,31970.0
 Focus,2019.0,Automatic,3655.0,Diesel,2.0,21420.0
 Focus,2017.0,Manual,23500.0,Petrol,1.0,11000.0
 Focus,2017.0,Manual,21020.0,Diesel,1.5,10995.0
 Q3,2014.0,Manual,38322.0,Petrol,1.4,15322.0
 C Class,2019.0,Semi-Auto,11980.0,Diesel,2.0,26995.0
 Q3,2019.0,Automatic,1082.0,Petrol,1.5,37490.0
 A7,2016.0,Semi-Auto,26000.0,Diesel,3.0,22990.0
 C Class,2019.0,Semi-Auto,1000.0,Diesel,1.6,30989.0
 A3,2016.0,Manual,32542.0,Petrol,1.4,16450.0
 A4,2015.0,Manual,38041.0,Diesel,2.0,12490.0
 A1,2015.0,Manual,43000.0,Petrol,1.4,10850.0
 Q3,2015.0,Manual,46600.0,Diesel,2.0,17990.0
 A3,2015.0,Semi-Auto,35528.0,Petrol,1.4,14490.0
 Q3,2015.0,Manual,38244.0,Petrol,1.4,17995.0
 Focus,2019.0,Manual,4984.0,Diesel,1.5,18580.0
